短色号,官方色号,类型,R,G,B,HEX
A1,MA1,opaque,255,246,212,#FFF6D4
A2,MA2,opaque,246,249,229,#F6F9E5
A3,MA3,opaque,255,251,170,#FFFBAA
A4,MA4,opaque,255,223,88,#FFDF58
A5,MA5,opaque,254,207,77,#FECF4D
A6,MA6,opaque,255,168,12,#FFA80C
A7,MA7,opaque,255,136,55,#FF8837
A8,MA8,opaque,234,196,49,#EAC431
A9,MA9,opaque,241,170,143,#F1AA8F
A10,MA10,opaque,255,143,66,#FF8F42
A11,MA11,opaque,255,225,161,#FFE1A1
A12,MA12,opaque,244,179,156,#F4B39C
A13,MA13,opaque,255,177,0,#FFB100
A14,MA14,opaque,255,101,16,#FF6510
A15,MA15,opaque,218,240,92,#DAF05C
A16,MA16,opaque,249,251,190,#F9FBBE
A17,MA17,opaque,255,217,118,#FFD976
A18,MA18,opaque,255,202,154,#FFCA9A
A19,MA19,opaque,236,122,146,#EC7A92
A20,MA20,opaque,229,190,85,#E5BE55
A21,MA21,opaque,255,229,150,#FFE596
A22,MA22,opaque,247,232,152,#F7E898
A23,MA23,opaque,240,203,177,#F0CBB1
A24,MA24,opaque,245,252,209,#F5FCD1
A25,MA25,opaque,246,212,135,#F6D487
A26,MA26,opaque,255,203,75,#FFCB4B
B1,MB1,opaque,210,227,24,#D2E318
B2,MB2,opaque,121,205,65,#79CD41
B3,MB3,opaque,130,215,161,#82D7A1
B4,MB4,opaque,101,223,79,#65DF4F
B5,MB5,opaque,95,200,115,#5FC873
B6,MB6,opaque,73,209,174,#49D1AE
B7,MB7,opaque,0,150,150,#009696
B8,MB8,opaque,8,119,79,#08774F
B9,MB9,opaque,24,56,35,#183823
B10,MB10,opaque,131,207,195,#83CFC3
B11,MB11,opaque,90,106,39,#5A6A27
B12,MB12,opaque,4,95,69,#045F45
B13,MB13,opaque,226,255,179,#E2FFB3
B14,MB14,opaque,157,209,46,#9DD12E
B15,MB15,opaque,37,75,60,#254B3C
B16,MB16,opaque,208,252,173,#D0FCAD
B17,MB17,opaque,140,161,42,#8CA12A
B18,MB18,opaque,210,217,88,#D2D958
B19,MB19,opaque,73,188,169,#49BCA9
B20,MB20,opaque,232,253,236,#E8FDEC
B21,MB21,opaque,24,139,129,#188B81
B22,MB22,opaque,12,92,91,#0C5C5B
B23,MB23,opaque,61,70,27,#3D461B
B24,MB24,opaque,234,252,182,#EAFCB6
B25,MB25,opaque,83,135,113,#538771
B26,MB26,opaque,138,122,64,#8A7A40
B27,MB27,opaque,210,222,182,#D2DEB6
B28,MB28,opaque,159,244,194,#9FF4C2
B29,MB29,opaque,187,215,71,#BBD747
B30,MB30,opaque,245,255,230,#F5FFE6
B31,MB31,opaque,191,225,194,#BFE1C2
B32,MB32,opaque,159,186,92,#9FBA5C
C1,MC1,opaque,213,227,222,#D5E3DE
C2,MC2,opaque,187,241,244,#BBF1F4
C3,MC3,opaque,115,192,223,#73C0DF
C4,MC4,opaque,51,179,225,#33B3E1
C5,MC5,opaque,0,163,202,#00A3CA
C6,MC6,opaque,88,160,217,#58A0D9
C7,MC7,opaque,5,136,204,#0588CC
C8,MC8,opaque,0,95,158,#005F9E
C9,MC9,opaque,8,111,185,#086FB9
C10,MC10,opaque,82,180,224,#52B4E0
C11,MC11,opaque,0,169,185,#00A9B9
C12,MC12,opaque,28,55,90,#1C375A
C13,MC13,opaque,206,224,240,#CEE0F0
C14,MC14,opaque,235,245,244,#EBF5F4
C15,MC15,opaque,0,170,173,#00AAAD
C16,MC16,opaque,0,76,125,#004C7D
C17,MC17,opaque,91,212,246,#5BD4F6
C18,MC18,opaque,54,81,92,#36515C
C19,MC19,opaque,15,144,157,#0F909D
C20,MC20,opaque,0,132,183,#0084B7
C21,MC21,opaque,221,236,250,#DDECFA
C22,MC22,opaque,132,186,194,#84BAC2
C23,MC23,opaque,203,219,219,#CBDBDB
C24,MC24,opaque,136,189,226,#88BDE2
C25,MC25,opaque,179,236,224,#B3ECE0
C26,MC26,opaque,62,158,191,#3E9EBF
C27,MC27,opaque,233,240,243,#E9F0F3
C28,MC28,opaque,194,205,227,#C2CDE3
C29,MC29,opaque,88,107,143,#586B8F
D1,MD1,opaque,114,146,226,#7292E2
D2,MD2,opaque,110,140,204,#6E8CCC
D3,MD3,opaque,19,65,154,#13419A
D4,MD4,opaque,30,49,117,#1E3175
D5,MD5,opaque,184,80,178,#B850B2
D6,MD6,opaque,173,146,233,#AD92E9
D7,MD7,opaque,95,45,145,#5F2D91
D8,MD8,opaque,215,205,241,#D7CDF1
D9,MD9,opaque,189,178,230,#BDB2E6
