row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,06,06,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,06,06,,,,,,05,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,06,,,,,05,05,,05,05,05,05,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,06,06,06,06,,05,05,05,05,05,05,05,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,06,06,06,,,,05,,05,05,05,05,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,06,06,06,,,,,,05,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,06,01,04,04,04,04,04,01,01,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,01,04,02,02,02,02,02,02,02,04,01,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,01,04,02,02,02,02,02,02,02,02,02,02,03,04,01,,,,,,,,,,,
14,,,,,,,,01,01,,,,,01,04,02,02,02,02,02,02,02,02,02,02,03,02,03,04,,,,,,,,,,,
15,,,,,,,,04,03,01,,,01,04,02,02,02,02,02,02,02,02,02,03,03,02,02,02,02,01,,,,,,,,,,
16,,,,,,,,01,04,01,,,01,02,02,02,02,03,04,02,02,02,02,02,03,02,02,03,03,03,01,,,,,,,,,
17,,,,,,,04,03,03,02,01,01,03,02,02,02,02,02,03,02,02,02,03,04,03,02,02,03,02,02,04,,,,,,,,,
18,,,,,,,04,02,04,03,01,01,02,02,04,04,01,01,04,02,02,02,03,03,02,02,02,02,02,02,04,,,,,,,,,
19,,,,,,,01,04,02,03,01,04,02,02,04,02,04,04,04,02,02,02,04,01,01,04,04,02,02,02,03,01,,,,,,,,
20,,,,,,,,,04,02,04,04,02,02,07,04,04,04,03,03,04,02,04,02,03,03,04,02,02,02,02,01,,,,,,,,
21,,,,,,,,,01,04,04,04,02,02,02,07,07,02,02,02,02,02,02,04,04,04,07,02,02,02,02,01,,,,,,,,
22,,,,,,,,,,01,01,03,03,03,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,03,04,01,,,,,,,,
23,,,,,,,,,,,01,03,03,05,03,03,03,03,03,02,02,02,02,02,02,03,03,03,03,03,04,04,,,,,,,,
24,,,,,,,,,,,,04,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,04,02,04,,,,,,,
25,,,,,,,,,,,,04,03,03,02,03,02,03,03,03,03,03,03,03,03,03,03,03,03,04,04,02,04,,,,,,,
26,,,,,,,,,,,,01,03,03,03,02,02,02,02,02,03,02,03,02,03,03,03,03,04,02,02,03,01,,,,,,,
27,,,,,,,,,,,,,04,03,03,02,03,02,02,02,02,02,03,02,03,03,03,03,04,02,02,01,,,,,,,,
28,,,,,,,,,,,,,01,04,03,03,03,02,03,02,02,03,02,03,03,03,03,03,04,04,04,01,,,,,,,,
29,,,,,,,,,,,,,,01,04,03,03,03,03,03,03,03,03,03,03,03,04,04,01,,,,,,,,,,,
30,,,,,,,,,,,,,,,01,04,04,03,03,03,03,03,03,03,03,03,04,01,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,01,04,04,04,03,03,03,03,04,04,01,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,01,04,02,03,01,01,01,01,01,04,03,04,01,,,,,,,,,,,,,
33,,,,,,,,,,,,,,01,03,02,02,02,04,,,,01,02,02,02,02,01,,,,,,,,,,,,
34,,,,,,,,,,,,,,01,04,04,04,04,01,,,,,04,04,04,04,01,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
