色号体系,图纸短色号,官方完整色号,官方RGB参考,HEX,数量
MARD 221 / Artkal M-2.6mm,H2,MH2,"255,255,255",#FFFFFF,1515
MARD 221 / Artkal M-2.6mm,H10,MH10,"226,224,231",#E2E0E7,701
MARD 221 / Artkal M-2.6mm,H7,MH7,"0,0,0",#000000,602
MARD 221 / Artkal M-2.6mm,H11,MH11,"188,184,181",#BCB8B5,226
MARD 221 / Artkal M-2.6mm,D1,MD1,"114,146,226",#7292E2,167
MARD 221 / Artkal M-2.6mm,C27,MC27,"233,240,243",#E9F0F3,137
MARD 221 / Artkal M-2.6mm,H4,MH4,"109,109,109",#6D6D6D,96
MARD 221 / Artkal M-2.6mm,H6,MH6,"58,58,58",#3A3A3A,91
MARD 221 / Artkal M-2.6mm,A13,MA13,"255,177,0",#FFB100,90
MARD 221 / Artkal M-2.6mm,H5,MH5,"77,77,77",#4D4D4D,69
MARD 221 / Artkal M-2.6mm,H3,MH3,"155,155,155",#9B9B9B,66
MARD 221 / Artkal M-2.6mm,C6,MC6,"88,160,217",#58A0D9,48
MARD 221 / Artkal M-2.6mm,D23,MD23,"214,210,226",#D6D2E2,46
MARD 221 / Artkal M-2.6mm,C24,MC24,"136,189,226",#88BDE2,43
MARD 221 / Artkal M-2.6mm,A8,MA8,"234,196,49",#EAC431,42
MARD 221 / Artkal M-2.6mm,C23,MC23,"203,219,219",#CBDBDB,29
MARD 221 / Artkal M-2.6mm,E1,ME1,"253,214,201",#FDD6C9,29
MARD 221 / Artkal M-2.6mm,H14,MH14,"184,200,197",#B8C8C5,29
MARD 221 / Artkal M-2.6mm,C7,MC7,"5,136,204",#0588CC,26
MARD 221 / Artkal M-2.6mm,D17,MD17,"174,206,240",#AECEF0,25
MARD 221 / Artkal M-2.6mm,F16,MF16,"255,215,203",#FFD7CB,19
MARD 221 / Artkal M-2.6mm,E11,ME11,"255,232,218",#FFE8DA,17
MARD 221 / Artkal M-2.6mm,C28,MC28,"194,205,227",#C2CDE3,16
MARD 221 / Artkal M-2.6mm,H22,MH22,"237,237,231",#EDEDE7,10
MARD 221 / Artkal M-2.6mm,M8,MM8,"150,131,129",#968381,10
MARD 221 / Artkal M-2.6mm,C13,MC13,"206,224,240",#CEE0F0,9
MARD 221 / Artkal M-2.6mm,C10,MC10,"82,180,224",#52B4E0,8
MARD 221 / Artkal M-2.6mm,M15,MM15,"146,159,169",#929FA9,8
MARD 221 / Artkal M-2.6mm,E16,ME16,"249,242,235",#F9F2EB,6
MARD 221 / Artkal M-2.6mm,C21,MC21,"221,236,250",#DDECFA,4
MARD 221 / Artkal M-2.6mm,H9,MH9,"227,230,223",#E3E6DF,4
MARD 221 / Artkal M-2.6mm,M7,MM7,"188,159,148",#BC9F94,4
MARD 221 / Artkal M-2.6mm,A5,MA5,"254,207,77",#FECF4D,2
MARD 221 / Artkal M-2.6mm,C8,MC8,"0,95,158",#005F9E,2
MARD 221 / Artkal M-2.6mm,C9,MC9,"8,111,185",#086FB9,2
MARD 221 / Artkal M-2.6mm,G17,MG17,"120,101,98",#786562,2
MARD 221 / Artkal M-2.6mm,B23,MB23,"61,70,27",#3D461B,1
MARD 221 / Artkal M-2.6mm,C12,MC12,"28,55,90",#1C375A,1
MARD 221 / Artkal M-2.6mm,C16,MC16,"0,76,125",#004C7D,1
MARD 221 / Artkal M-2.6mm,C18,MC18,"54,81,92",#36515C,1
MARD 221 / Artkal M-2.6mm,C29,MC29,"88,107,143",#586B8F,1
MARD 221 / Artkal M-2.6mm,H20,MH20,"158,174,173",#9EAEAD,1
MARD 221 / Artkal M-2.6mm,H8,MH8,"255,240,241",#FFF0F1,1
MARD 221 / Artkal M-2.6mm,M3,MM3,"106,136,144",#6A8890,1
MARD 221 / Artkal M-2.6mm,M4,MM4,"190,179,157",#BEB39D,1
