色号体系,图纸短色号,官方完整色号,RGB,HEX,数量
MARD 221 / Artkal M-2.6mm,B6,MB6,"73,209,174",#49D1AE,200
MARD 221 / Artkal M-2.6mm,B7,MB7,"0,150,150",#009696,8
MARD 221 / Artkal M-2.6mm,B10,MB10,"131,207,195",#83CFC3,18
MARD 221 / Artkal M-2.6mm,B27,MB27,"210,222,182",#D2DEB6,8
MARD 221 / Artkal M-2.6mm,B28,MB28,"159,244,194",#9FF4C2,21
MARD 221 / Artkal M-2.6mm,C2,MC2,"187,241,244",#BBF1F4,84
MARD 221 / Artkal M-2.6mm,C3,MC3,"115,192,223",#73C0DF,172
MARD 221 / Artkal M-2.6mm,C9,MC9,"8,111,185",#086FB9,40
MARD 221 / Artkal M-2.6mm,C12,MC12,"28,55,90",#1C375A,295
MARD 221 / Artkal M-2.6mm,C16,MC16,"0,76,125",#004C7D,189
MARD 221 / Artkal M-2.6mm,C18,MC18,"54,81,92",#36515C,351
MARD 221 / Artkal M-2.6mm,C20,MC20,"0,132,183",#0084B7,106
MARD 221 / Artkal M-2.6mm,C22,MC22,"132,186,194",#84BAC2,2
MARD 221 / Artkal M-2.6mm,C25,MC25,"179,236,224",#B3ECE0,55
MARD 221 / Artkal M-2.6mm,C26,MC26,"62,158,191",#3E9EBF,283
MARD 221 / Artkal M-2.6mm,C27,MC27,"233,240,243",#E9F0F3,46
MARD 221 / Artkal M-2.6mm,D1,MD1,"114,146,226",#7292E2,397
MARD 221 / Artkal M-2.6mm,D2,MD2,"110,140,204",#6E8CCC,285
MARD 221 / Artkal M-2.6mm,D3,MD3,"19,65,154",#13419A,756
MARD 221 / Artkal M-2.6mm,D4,MD4,"30,49,117",#1E3175,312
MARD 221 / Artkal M-2.6mm,D8,MD8,"215,205,241",#D7CDF1,76
MARD 221 / Artkal M-2.6mm,D10,MD10,"37,27,88",#251B58,89
MARD 221 / Artkal M-2.6mm,D11,MD11,"162,187,231",#A2BBE7,511
MARD 221 / Artkal M-2.6mm,D17,MD17,"174,206,240",#AECEF0,117
MARD 221 / Artkal M-2.6mm,D22,MD22,"75,94,158",#4B5E9E,452
MARD 221 / Artkal M-2.6mm,D24,MD24,"119,118,209",#7776D1,514
MARD 221 / Artkal M-2.6mm,E1,ME1,"253,214,201",#FDD6C9,4
MARD 221 / Artkal M-2.6mm,E8,ME8,"255,225,230",#FFE1E6,8
MARD 221 / Artkal M-2.6mm,E16,ME16,"249,242,235",#F9F2EB,66
MARD 221 / Artkal M-2.6mm,E17,ME17,"231,220,230",#E7DCE6,107
MARD 221 / Artkal M-2.6mm,E21,ME21,"189,156,163",#BD9CA3,133
MARD 221 / Artkal M-2.6mm,F20,MF20,"216,168,158",#D8A89E,18
MARD 221 / Artkal M-2.6mm,F22,MF22,"255,212,212",#FFD4D4,14
MARD 221 / Artkal M-2.6mm,G17,MG17,"120,101,98",#786562,154
MARD 221 / Artkal M-2.6mm,H2,MH2,"255,255,255",#FFFFFF,151
MARD 221 / Artkal M-2.6mm,H8,MH8,"255,240,241",#FFF0F1,14
MARD 221 / Artkal M-2.6mm,H12,MH12,"247,243,225",#F7F3E1,5
MARD 221 / Artkal M-2.6mm,H23,MH23,"180,184,167",#B4B8A7,4
MARD 221 / Artkal M-2.6mm,M1,MM1,"174,187,168",#AEBBA8,4
MARD 221 / Artkal M-2.6mm,M3,MM3,"106,136,144",#6A8890,8
MARD 221 / Artkal M-2.6mm,M8,MM8,"150,131,129",#968381,7
