行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
1,C2,C2,D17,D17,D17,D17,D17,D17,D17,D11,D22,D3,D22,D22,D22,D22,D22,D3,D2,D22,D22,D11,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D3,D22,D3,D10,C20,C25,C16,D3,D22,D3,D3,D3,D22,D1,C9,D3,D3,D3,D24,D2,D2,C9,D22,D2,C3,C3,C3,C3,D2,D22,D4,D4,D4,D4,D4,D4
2,H2,C2,D11,D11,D17,D17,D17,D17,D11,D22,D22,D3,D22,D22,D22,D22,D22,D3,D22,C9,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D10,C2,H2,H2,C16,D3,D3,D3,D3,D22,D22,D22,D3,D3,D3,D3,D3,D3,D3,D3,D22,C3,C3,C3,D2,D22,D4,D4,D4,D4,D4,D4,D4,D4
3,D11,C2,D17,D11,D17,D17,D17,D11,C16,D3,D3,D22,D22,D22,D3,D22,D22,D3,D11,D11,D22,D22,D22,D22,D22,D22,D22,D3,D2,E21,D4,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,C2,C27,D17,C2,D4,D3,D3,D3,D3,D22,D22,D4,D4,D4,D3,D3,D3,D3,D22,D2,D2,C3,C26,D22,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4
4,D1,D2,D11,D17,D17,D17,D11,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D11,D8,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D10,C2,C2,C20,D11,C3,D4,D3,D3,D3,D3,D22,D4,D4,D4,D3,D3,D3,D3,D3,D22,C9,D2,D2,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
5,D2,D2,D2,D11,D17,D2,D4,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D3,D8,D8,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,C3,C27,C26,D22,C2,C20,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D3,D4,D4,D4,D22,D2,D22,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
6,D2,D11,D2,D11,D11,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,E17,D8,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,C26,H2,C26,C26,D1,C2,D4,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D3,D22,C9,D3,D3,D4,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
7,D2,D11,D11,D11,D11,D3,D3,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D3,D8,E17,E21,D4,D3,D22,D22,D22,D22,D22,D22,D22,D3,D3,H2,C3,C20,D2,D11,C2,D4,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
8,D2,D11,D11,D17,D2,D3,D24,D24,D24,D24,D24,D24,D3,D3,D22,D22,D22,D22,D22,D22,D22,D3,D3,D3,D3,D3,D22,E16,D8,D11,D11,D3,D22,D3,D22,D22,D22,D22,D22,D3,C3,C2,D2,C26,D2,D17,C3,D10,D22,D22,D3,D3,D3,D3,D4,D3,D3,D4,D3,D3,D3,D3,D4,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3
9,D2,D11,D11,C2,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D22,D22,D24,D22,D22,D22,D3,D3,C12,D11,D24,D3,D8,E17,D8,D8,E17,D3,D3,D3,D3,D22,D3,D22,D24,C16,C26,D2,D2,C26,D2,C2,C26,D3,D2,D22,D22,D22,D3,D3,D3,D3,D3,D3,D22,D3,D4,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D22,D4,D3,D24
10,D2,D11,D11,C2,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,C18,C16,E17,D11,D22,E16,E17,D8,E17,D8,D3,D24,D3,D3,D3,D3,D3,D4,C26,D11,D2,C26,C26,D2,C2,C26,D3,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3,D3
11,D2,D2,D11,C2,D2,D3,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D24,D3,C18,B6,D3,D8,E17,D8,E17,E17,E17,H2,D2,D3,D3,C16,C3,C3,D2,D3,C18,D17,D11,C20,C26,C3,D2,C2,C26,D3,D3,D3,D3,D3,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
12,D2,D2,D11,C2,D17,D3,D24,D24,D11,C9,D24,D24,D24,D24,D24,D24,D24,D24,D3,C18,B6,C26,D3,E17,E17,D8,E17,E17,E17,D8,D3,D24,D4,C3,C3,D22,D22,D4,C26,D8,D2,C26,C26,C3,D2,C2,C18,D3,D3,D3,D3,D22,D3,D3,D22,D3,D3,D3,D3,D3,D3,D3,D3,D3,D3,D22,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4
