行/列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
1,D17,C3,D17,D17,D17,D17,D17,D17,D17,D17,D17,D11,C16,D3,D22,D22,D22,D22,D22,D22,D22,D3,D2,D2,D3,D2,D17,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D3,D3,D22,D4,D10,C20,B10,C16,D3,D2,D22,D3,D3,D3,D3,D22,D1,C9,D3,D3,D3,D3,D24,D2,D2,D2,C9,C9,D2,C3,C3,C3,C3,C3,C6,D22,D22,D4,D4,D4,D4,D4,D4,D4
2,H2,D17,D17,D11,D17,D17,D17,D17,D17,D17,D11,D2,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D3,D4,C25,H2,H2,C26,D3,D3,D3,D3,D3,D22,D3,C9,C9,D3,D3,D3,D3,D3,D3,D24,D22,D3,D3,D22,C6,C3,C3,C3,C6,D22,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
3,D17,H2,D17,D11,D11,D17,D17,D17,D17,D11,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D17,C9,D22,D22,D2,D3,D22,D22,D22,D22,D22,D3,M11,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D4,C25,H2,C27,C25,C16,D3,D3,D3,D3,D3,D3,D22,D22,D4,D3,D3,D3,D3,D3,D3,D3,D3,D3,D2,D2,C6,C3,C3,D2,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
4,D2,C6,D17,D17,D11,D17,D17,D17,D11,D2,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D2,D2,D22,D22,D3,D22,D22,D3,D2,D22,D3,D3,D8,D2,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D4,C27,C25,C6,D11,C3,D22,D3,D3,D3,D3,D3,D22,D22,D22,D4,D3,D3,D3,D3,D3,D3,D3,D22,D2,D2,C6,C6,C6,D22,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
5,D2,D1,C6,D11,D17,D17,D17,D11,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D8,M11,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D4,C27,C25,C3,D22,D17,C26,D3,D3,D3,D3,D3,D3,D22,D3,D3,D4,D4,D3,D3,D3,D3,D3,D3,D3,D3,D2,C6,C9,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
6,D2,D2,C6,D2,D11,D17,D11,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D2,D8,M11,D4,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D3,D22,D3,D10,C25,C27,C3,C26,D24,C25,C16,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D3,D3,D4,D4,D3,D2,D2,D22,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
7,C6,D2,C6,D2,D11,D11,D2,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D4,D8,D8,M11,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D3,C3,H2,C3,C26,D2,D1,C25,D4,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D3,D3,D22,C9,D22,D3,D3,D4,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
8,C6,D11,D11,D11,D11,D11,D22,D3,D22,D22,D22,D22,D22,D22,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D22,D22,D22,D3,D22,E17,D8,M11,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D22,H2,C3,C6,C26,D2,D17,C3,D4,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D3,D3,D3,D22,D22,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
9,D2,D11,D11,D11,D17,D11,D3,D3,D22,D22,D22,D24,D22,D24,D3,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D3,D3,D3,D3,D3,E17,E17,D8,M11,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,H2,C25,C6,C20,C6,D2,C25,C26,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D3,D3,D3,D3,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4
10,D2,D11,D11,D11,D17,D11,D3,D24,D24,D24,D24,D24,D24,D24,D3,D3,D3,D22,D22,D22,D22,D22,D22,D22,D22,D3,D3,D3,D3,D3,D22,D3,D22,E17,D8,D8,M11,D8,D22,D3,D22,D3,D22,D22,D3,D22,D22,D22,D3,C20,C25,C6,C6,C6,C6,D2,C25,C26,D3,D22,D2,D3,D3,D3,D3,D3,D3,D3,D3,D3,D4,D3,D3,D3,D3,D4,D3,D3,D3,D3,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D4,D3
