编号,文件名,用途,宽,高,SHA256
001,01-opening-home-monologue.png,玄关自然开场,941,1672,B4D53A60526D15611B29A49F9E6E2C6426D759C25556DB2539DE0083FA332280
002,02-printer-coworker-blame.png,打印机同事发难,941,1672,F9188590F96A4A20408F94CDF7E66A8A5CABEA671D02BE46DAFF39B1128874D6
003,03-printer-xiaohao-reply.png,打印机小耗儿回击,941,1672,AA2F302700DC5D44D8CEF10D271046E881456AD014C671842DE08177B4A75093
004,04-appearance-attacker.png,人身攻击者发难,941,1672,F52497F09CFFBC55F3E22289D68B620F870364271C74BFF098DF850E740C74A2
005,05-appearance-xiaohao-reply.png,人身攻击小耗儿回击,941,1672,68DF372AD3434596D76CF8A56FBC3A3C4C0A815E089E618BA25B6BA07750B190
006,06-child-teasing-first.png,小孩第一次挑事,941,1672,CBB4BB8415B04C99529A4F3E183244A4C12AB9114D696C541DA9ACEB5ECE3E31
007,07-child-xiaohao-question.png,小耗儿追问,941,1672,214578C91D914AC470241BB74AE8096BAE40983F2C60120533F4FB53E0CF4209
008,08-child-joking-excuse.png,小孩拿玩笑挡箭,941,1672,9586144693CD3747E97FACCC989DEA8FE3BB417B695E71C6EE3615B2C588F487
009,09-child-xiaohao-final.png,小耗儿终止玩笑,941,1672,BE897CC99C5E317491022B0DD0DBFD34F6D50CF93732A7C0A25C576EFA95F6BC
010,10-family-relative-son.png,催生亲戚发难,941,1672,12A3EFA68D3B78E19DE74ADCDE82B9DAF6253482CD63518A53442E4836880068
011,11-family-xiaohao-reply.png,催生小耗儿回击,941,1672,DE8428980494E086033C5A527CF4384292E4154A861B30408676030D30C20906
012,12-elder-pua.png,长辈比较式PUA,941,1672,A17C3ADDE39349D9D851F059553E8CD385107F7B5DE65993FCF56B3CC98703CF
013,13-elder-xiaohao-reply.png,长辈场景小耗儿回击,941,1672,631874916B6F059DFE7B3B336412032C2E811CBB5A0E3662B01356DF09562C17
014,14-same-name-neighbor.png,同名找茬邻居,941,1672,6C14FD13102D0C80709DCF0E4AAB840615178FC88DA457875E2DCDD8F18742F3
015,15-same-name-xiaohao-reply.png,同名场景小耗儿回击,941,1672,0E613B24B21C0CE020B27F282247C852D5833A1D5D687FEF7F07B3F4926BD3F8
016,16-company-coworker-blame.png,公司同事甩锅,941,1672,DC8F052EB8C3AA05CAAA22EA073F739410DA30724175EAD56F7415FB66255BB3
017,17-company-xiaohao-reply.png,公司场景小耗儿回击,941,1672,951177A6ECC603C0CD1AC90197A094197BA94C4EF83CFA96264E92E4D6B9C487
018,18-closing-home-boundary.png,玄关自然收束,941,1672,AA128E3CAA8B4312A5A2E55782F25874D1CAAC16C6493D6168C01736029D63E9
